event_id,time,angle,pol_x,pol_y,pol_z,energy
174,1.750842,11.000868,0.005294,0.000000,-0.999986,30.000000
175,1.767306,11.104313,0.108525,0.000000,-0.994094,30.000000
176,1.788344,11.236498,0.238600,0.000000,-0.971118,30.000000
177,1.823876,11.459752,0.447688,0.000000,-0.894190,30.000000
178,1.826264,11.474756,0.461053,0.000000,-0.887372,30.000000
179,1.830958,11.504250,0.487021,0.000000,-0.873390,30.000000
180,1.833613,11.520930,0.501520,0.000000,-0.865146,30.000000
181,1.835708,11.534092,0.512864,0.000000,-0.858470,30.000000
182,1.840628,11.565008,0.539155,0.000000,-0.842207,30.000000
183,1.851875,11.635677,0.597278,0.000000,-0.802035,30.000000
184,1.869673,11.747504,0.683049,0.000000,-0.730372,30.000000
185,1.876407,11.789816,0.713332,0.000000,-0.700826,30.000000
186,1.892461,11.890681,0.780276,0.000000,-0.625436,30.000000
187,1.892818,11.892924,0.781677,0.000000,-0.623684,30.000000
188,1.893777,11.898953,0.785422,0.000000,-0.618960,30.000000
189,1.901460,11.947227,0.814376,0.000000,-0.580338,30.000000
190,1.909178,11.995717,0.841548,0.000000,-0.540182,30.000000
191,1.914768,12.030842,0.859999,0.000000,-0.510296,30.000000
192,1.915029,12.032485,0.860836,0.000000,-0.508882,30.000000
193,1.925211,12.096459,0.891608,0.000000,-0.452807,30.000000
194,1.931951,12.138808,0.909979,0.000000,-0.414654,30.000000
195,1.933597,12.149145,0.914217,0.000000,-0.405225,30.000000
196,1.940581,12.193030,0.931114,0.000000,-0.364728,30.000000
197,1.966381,12.355136,0.977773,0.000000,-0.209667,30.000000
198,1.967824,12.364203,0.979634,0.000000,-0.200794,30.000000
199,1.971171,12.385236,0.983640,0.000000,-0.180146,30.000000
200,1.977400,12.424373,0.989935,0.000000,-0.141521,30.000000
201,1.987821,12.489848,0.997074,0.000000,-0.076448,30.000000
202,2.004633,12.595481,0.999576,0.000000,0.029107,30.000000
203,2.013150,12.648997,0.996588,0.000000,0.082532,30.000000
204,2.023253,12.712474,0.989346,0.000000,0.145584,30.000000
205,2.024299,12.719043,0.988368,0.000000,0.152080,30.000000
206,2.024345,12.719333,0.988324,0.000000,0.152367,30.000000
207,2.027903,12.741690,0.984671,0.000000,0.174423,30.000000
208,2.050281,12.882297,0.950509,0.000000,0.310697,30.000000
209,2.057498,12.927642,0.935448,0.000000,0.353464,30.000000
210,2.069470,13.002864,0.906240,0.000000,0.422764,30.000000
211,2.069579,13.003549,0.905950,0.000000,0.423385,30.000000
212,2.073005,13.025073,0.896628,0.000000,0.442785,30.000000
213,2.079057,13.063099,0.879147,0.000000,0.476551,30.000000
214,2.087128,13.113810,0.853860,0.000000,0.520502,30.000000
215,2.091726,13.142704,0.838467,0.000000,0.544953,30.000000
216,2.095382,13.165671,0.825730,0.000000,0.564065,30.000000
217,2.095606,13.167084,0.824933,0.000000,0.565231,30.000000
218,2.098016,13.182225,0.816280,0.000000,0.577656,30.000000
219,2.112774,13.274950,0.759287,0.000000,0.650755,30.000000
220,2.115832,13.294165,0.746644,0.000000,0.665224,30.000000
221,2.121713,13.331113,0.721561,0.000000,0.692351,30.000000
222,2.133299,13.403916,0.669289,0.000000,0.743002,30.000000
223,2.134142,13.409213,0.665344,0.000000,0.746537,30.000000
224,2.136933,13.426746,0.652153,0.000000,0.758087,30.000000
225,2.138424,13.436113,0.645023,0.000000,0.764163,30.000000
226,2.152815,13.526536,0.573384,0.000000,0.819286,30.000000
227,2.165605,13.606897,0.505767,0.000000,0.862670,30.000000
228,2.176146,13.673131,0.447561,0.000000,0.894253,30.000000
229,2.178653,13.688882,0.433421,0.000000,0.901192,30.000000
230,2.186371,13.737372,0.389230,0.000000,0.921141,30.000000
231,2.200959,13.829033,0.303281,0.000000,0.952901,30.000000
232,2.207063,13.867386,0.266521,0.000000,0.963829,30.000000
233,2.208093,13.873858,0.260277,0.000000,0.965534,30.000000
234,2.215005,13.917289,0.218111,0.000000,0.975924,30.000000
